,movie,year,duration,rating,metascore,genre,votes,gross,directorstars
0,Django Unchained,2012,165,8.4,81,"Drama, Western            ",1276363,162.81,"    Director:Quentin Tarantino     Stars:Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington"
1,3 Idiots,2009,170,8.4,67,"Comedy, Drama            ",318323,6.53,"    Director:Rajkumar Hirani     Stars:Aamir Khan, Madhavan, Mona Singh, Sharman Joshi"
2,Like Stars on Earth,2007,165,8.4,0,"Drama, Family            ",153011,1.22,"    Directors:Aamir Khan, Amole Gupte     Stars:Darsheel Safary, Aamir Khan, Tisca Chopra, Vipin Sharma"
3,The Lives of Others,2006,137,8.4,89,"Drama, Mystery, Thriller            ",338959,11.29,"    Director:Florian Henckel von Donnersmarck     Stars:Ulrich Mühe, Martina Gedeck, Sebastian Koch, Ulrich Tukur"
4,Oldboy,2003,120,8.4,77,"Action, Drama, Mystery            ",483884,0.71,"    Director:Chan-wook Park     Stars:Min-sik Choi, Ji-Tae Yoo, Hye-jeong Kang, Dae-han Ji"
5,Once Upon a Time in America,1984,229,8.4,0,"Crime, Drama            ",292480,5.32,"    Director:Sergio Leone     Stars:Robert De Niro, James Woods, Elizabeth McGovern, Treat Williams"
6,The Shining,1980,146,8.4,66,"Drama, Horror            ",839497,44.02,"    Director:Stanley Kubrick     Stars:Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers"
7,Apocalypse Now,1979,147,8.4,94,"Drama, Mystery, War            ",574260,83.47,"    Director:Francis Ford Coppola     Stars:Martin Sheen, Marlon Brando, Robert Duvall, Frederic Forrest"
8,Witness for the Prosecution,1957,116,8.4,0,"Crime, Drama, Film-Noir            ",99261,8.18,"    Director:Billy Wilder     Stars:Tyrone Power, Marlene Dietrich, Charles Laughton, Elsa Lanchester"
9,Paths of Glory,1957,88,8.4,0,"Drama, War            ",165846,0.0,"    Director:Stanley Kubrick     Stars:Kirk Douglas, Ralph Meeker, Adolphe Menjou, George Macready"
10,Sunset Blvd.,1950,110,8.4,0,"Drama, Film-Noir            ",188766,0.0,"    Director:Billy Wilder     Stars:William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson"
11,The Great Dictator,1940,125,8.4,0,"Comedy, Drama, War            ",190696,0.0,"    Director:Charles Chaplin     Stars:Charles Chaplin, Paulette Goddard, Jack Oakie, Reginald Gardiner"
12,Uri: The Surgical Strike,2019,138,8.3,0,"Action, Drama, War            ",37764,4.19,"    Director:Aditya Dhar     Stars:Vicky Kaushal, Paresh Rawal, Mohit Raina, Yami Gautam"
13,The Hunt,2012,115,8.3,77,Drama            ,258220,0.69,"    Director:Thomas Vinterberg     Stars:Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp, Lasse Fogelstrøm"
14,A Separation,2011,123,8.3,95,Drama            ,207440,7.1,"    Director:Asghar Farhadi     Stars:Payman Maadi, Leila Hatami, Sareh Bayat, Shahab Hosseini"
15,Incendies,2010,131,8.3,80,"Drama, Mystery, War            ",133788,6.86,"    Director:Denis Villeneuve     Stars:Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette, Mustafa Kamel"
16,My Father and My Son,2005,108,8.3,0,"Drama, Family            ",72707,0.0,"    Director:Çagan Irmak     Stars:Çetin Tekindor, Fikret Kuskan, Hümeyra, Ege Tanman"
17,Inglourious Basterds,2009,153,8.3,69,"Adventure, Drama, War            ",1189902,120.54,"    Director:Quentin Tarantino     Stars:Brad Pitt, Diane Kruger, Eli Roth, Mélanie Laurent"
18,Eternal Sunshine of the Spotless Mind,2004,108,8.3,89,"Drama, Romance, Sci-Fi            ",862044,34.4,"    Director:Michel Gondry     Stars:Jim Carrey, Kate Winslet, Tom Wilkinson, Gerry Robert Byrne"
19,Requiem for a Dream,2000,102,8.3,68,Drama            ,729418,3.64,"    Director:Darren Aronofsky     Stars:Ellen Burstyn, Jared Leto, Jennifer Connelly, Marlon Wayans"
20,American Beauty,1999,122,8.3,84,Drama            ,1025927,130.1,"    Director:Sam Mendes     Stars:Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley"
21,Good Will Hunting,1997,126,8.3,70,"Drama, Romance            ",809142,138.43,"    Director:Gus Van Sant     Stars:Robin Williams, Matt Damon, Ben Affleck, Stellan Skarsgård"
22,Children of Heaven,1997,89,8.3,0,"Drama, Family, Sport            ",58574,0.93,"    Director:Majid Majidi     Stars:Mohammad Amir Naji, Amir Farrokh Hashemian, Bahare Seddiqi, Nafise Jafar-Mohammadi"
23,The Bandit,1996,128,8.3,0,"Crime, Drama, Thriller            ",59009,0.0,"    Director:Yavuz Turgul     Stars:Sener Sen, Ugur Yücel, Sermin Hürmeriç, Yesim Salkim"
24,Braveheart,1995,178,8.3,68,"Biography, Drama, History            ",922581,75.6,"    Director:Mel Gibson     Stars:Mel Gibson, Sophie Marceau, Patrick McGoohan, Angus Macfadyen"
25,Reservoir Dogs,1992,99,8.3,79,"Crime, Drama, Thriller            ",871883,2.83,"    Director:Quentin Tarantino     Stars:Harvey Keitel, Tim Roth, Michael Madsen, Chris Penn"
26,Full Metal Jacket,1987,116,8.3,76,"Drama, War            ",639680,46.36,"    Director:Stanley Kubrick     Stars:Matthew Modine, R. Lee Ermey, Vincent D'Onofrio, Adam Baldwin"
27,Come and See,1985,142,8.3,0,"Drama, War            ",48594,0.0,"    Director:Elem Klimov     Stars:Aleksey Kravchenko, Olga Mironova, Liubomiras Laucevicius, Vladas Bagdonas"
28,Amadeus,1984,160,8.3,88,"Biography, Drama, History            ",351745,51.97,"    Director:Milos Forman     Stars:F. Murray Abraham, Tom Hulce, Elizabeth Berridge, Roy Dotrice"
29,Scarface,1983,170,8.3,65,"Crime, Drama            ",698162,45.6,"    Director:Brian De Palma     Stars:Al Pacino, Michelle Pfeiffer, Steven Bauer, Mary Elizabeth Mastrantonio"
30,Das Boot,1981,149,8.3,86,"Adventure, Drama, Thriller            ",219981,11.49,"    Director:Wolfgang Petersen     Stars:Jürgen Prochnow, Herbert Grönemeyer, Klaus Wennemann, Hubertus Bengsch"
31,Taxi Driver,1976,114,8.3,94,"Crime, Drama            ",678915,28.26,"    Director:Martin Scorsese     Stars:Robert De Niro, Jodie Foster, Cybill Shepherd, Albert Brooks"
32,The Sting,1973,129,8.3,83,"Comedy, Crime, Drama            ",229764,159.6,"    Director:George Roy Hill     Stars:Paul Newman, Robert Redford, Robert Shaw, Charles Durning"
33,A Clockwork Orange,1971,136,8.3,80,"Crime, Drama, Sci-Fi            ",720865,0.0,"    Director:Stanley Kubrick     Stars:Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke"
34,Lawrence of Arabia,1962,228,8.3,100,"Adventure, Biography, Drama            ",253722,44.82,"    Director:David Lean     Stars:Peter O'Toole, Alec Guinness, Anthony Quinn, Jack Hawkins"
35,The Apartment,1960,125,8.3,94,"Comedy, Drama, Romance            ",152791,18.6,"    Director:Billy Wilder     Stars:Jack Lemmon, Shirley MacLaine, Fred MacMurray, Ray Walston"
36,Ikiru,1952,143,8.3,0,Drama            ,62164,0.06,"    Director:Akira Kurosawa     Stars:Takashi Shimura, Nobuo Kaneko, Shin'ichi Himori, Haruo Tanaka"
37,Bicycle Thieves,1948,89,8.3,0,Drama            ,135531,0.33,"    Director:Vittorio De Sica     Stars:Lamberto Maggiorani, Enzo Staiola, Lianella Carell, Elena Altieri"
38,Double Indemnity,1944,107,8.3,95,"Crime, Drama, Film-Noir            ",134786,5.72,"    Director:Billy Wilder     Stars:Fred MacMurray, Barbara Stanwyck, Edward G. Robinson, Byron Barr"
39,Citizen Kane,1941,119,8.3,100,"Drama, Mystery            ",378495,1.59,"    Director:Orson Welles     Stars:Orson Welles, Joseph Cotten, Dorothy Comingore, Agnes Moorehead"
40,Metropolis,1927,153,8.3,98,"Drama, Sci-Fi            ",151358,1.24,"    Director:Fritz Lang     Stars:Brigitte Helm, Alfred Abel, Gustav Fröhlich, Rudolf Klein-Rogge"
41,The Kid,1921,68,8.3,0,"Comedy, Drama, Family            ",104460,5.45,"    Director:Charles Chaplin     Stars:Charles Chaplin, Edna Purviance, Jackie Coogan, Carl Miller"
42,K.G.F: Chapter 1,2018,156,8.2,0,"Action, Drama            ",28709,0.0,"    Director:Prashanth Neel     Stars:Yash, Srinidhi Shetty, Ramachandra Raju, Archana Jois"
43,Green Book,2018,130,8.2,69,"Biography, Comedy, Drama            ",300316,85.08,"    Director:Peter Farrelly     Stars:Viggo Mortensen, Mahershala Ali, Linda Cardellini, Sebastian Maniscalco"
44,A Silent Voice: The Movie,2016,130,8.2,78,"Animation, Drama, Family            ",34447,0.0,"    Director:Naoko Yamada     Stars:Miyu Irino, Saori Hayami, Aoi Yûki, Kenshô Ono"
45,"Three Billboards Outside Ebbing, Missouri",2017,115,8.2,88,"Comedy, Crime, Drama            ",387382,54.51,"    Director:Martin McDonagh     Stars:Frances McDormand, Woody Harrelson, Sam Rockwell, Caleb Landry Jones"
46,Talvar,2015,132,8.2,0,"Crime, Drama, Mystery            ",27469,0.34,"    Director:Meghna Gulzar     Stars:Irrfan Khan, Konkona Sen Sharma, Neeraj Kabi, Sohum Shah"
47,Baahubali 2: The Conclusion,2017,167,8.2,0,"Action, Drama            ",69636,20.19,"    Director:S.S. Rajamouli     Stars:Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia"
48,Drishyam,2015,163,8.2,0,"Crime, Drama, Mystery            ",60400,0.74,"    Director:Nishikant Kamat     Stars:Ajay Devgn, Shriya Saran, Tabu, Rajat Kapoor"
49,Queen,2013,146,8.2,0,"Comedy, Drama            ",57278,1.43,"    Director:Vikas Bahl     Stars:Kangana Ranaut, Rajkummar Rao, Lisa Haydon, Jeffrey Ho"
